lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
flinders,1670000,1300000,9.8,155,-2,18
flora hill,370000,389000,5.1,64,5,39
flowerdale,290000,420000,2.1,24,-26,9
footscray,810000,920000,4.8,60,-10,69
forest hill,900000,1004000,6,79,-4,38
foster,325000,362500,3.9,46,-3,18
frankston,580500,611500,6.3,84,-4,292
frankston north,423000,455000,6,78,-16,67
frankston south,817500,785000,6.1,80,-4,135
fraser rise,598000,635000,5.313392857142856,69.38959390862944,-3,63
fyansford,617500,750000,5.313392857142856,69.38959390862944,-5,11
garden city,1375000,724976.1290322581,4.3,53,-9,6
gardenvale,1740000,724976.1290322581,7.7,111,-5,0
garfield,540000,585000,7,96,0,11
geelong,720000,750000,6.3,85,-4,35
geelong west,675000,780000,6.9,94,-5,89
gembrook,650000,630000,8,117,7,12
gisborne,730000,720000,7.6,109,-5,90
gladstone park,636500,660000,6,80,1,55
glen huntly,1380000,724976.1290322581,5.1,65,13,11
glen iris,1929500,1860000,6.5,88,-1,106
glen waverley,1270000,1235000,6.8,92,-2,192
glengarry,324000,342500,3.7,44,8,0
glenrowan,372500,724976.1290322581,4.7,58,41,8
glenroy,700000,740000,5.2,67,-3,87
golden beach,220000,310000,3.7,44,-2,21
golden point (ballarat),370000,385000,5.8,76,6,34
golden square,340000,352000,4.3,52,2,131
gordon,495000,649500,6.5,89,23,6
goughs bay,299500,500000,5,64,-13,10
gowanbrae,700500,820000,4.5,56,-4,15
grantville,397500,421000,6.2,82,-1,24
green lake,290000,361000,2.3,26,7,13
greensborough,797500,832500,6.1,81,-2,114
greenvale,715000,728000,4.2,50,-1,133
grovedale,505000,551500,5.6,73,2,158
hadfield,727500,712500,5.7,74,-2,42
hallam,560000,590000,5.5,70,-11,52
halls gap,310000,400500,3,35,-13,15
hamilton,208500,250000,1.2,13,-7,171
hamlyn heights,540000,560000,6.2,83,-1,90
hampton,1896000,1650000,5.6,72,0,76
hampton east,1195000,1252500,6.2,83,-3,42
hampton park,502000,532000,5.5,70,-9,165
harkness,475000,470000,5.3,68,-2,134
hastings,506000,555000,5.4,69,-3,83
hastings west,430000,561000,6.5,87,-10,27
hawthorn,2195500,2578000,5.9,77,-12,83
hawthorn east,2050000,1857500,6,79,-7,44
healesville,579500,574000,6.4,85,-4,50
heathcote,332500,357500,5.8,75,7,23
heatherton,965000,890000,5.4,70,3,21
heathmont,871000,910000,7.2,100,-7,46
heidelberg,1122500,1302000,4.4,54,1,27
heidelberg heights,777500,752500,5.6,72,-5,32
heidelberg west,665000,790000,5.9,78,-5,28
hepburn,452500,485000,3.7,44,6,10
hepburn springs,595000,559000,5.6,73,21,16
herne hill,534000,560000,6.7,91,-3,37
heyfield,195000,227500,2.3,26,-6,34
heywood,178000,176500,1.8,19,7,21
highett,1229500,1350000,6.6,89,-4,70
highton,690000,697000,6,79,1,199
hillside (melton),642000,652500,6.1,81,0,90
hopetoun,66000,142500,-1.1,-10,-23,18
hoppers crossing,528500,545000,6.4,87,-4,248
horsham,269000,260000,4.3,53,5,243
hughesdale,1150500,1480000,5.2,66,-10,15
huntingdale,914000,1278000,5,63,-10,8
huntly,367500,372500,3.5,41,3,36
hurstbridge,700000,740000,5.7,74,-4,12
indented head,606000,728500,6.5,88,5,21
inglewood,185000,250000,3.6,42,3,16
inverleigh,503000,500000,7.7,110,-5,0
inverloch,592500,649000,4.6,56,-1,132
invermay park,475000,497000,4.5,56,2,27
ironbark,296000,465500,2.7,31,-8,17
irymple,380000,365000,5.9,77,23,52
ivanhoe,1540000,1422500,6.7,92,-4,42
ivanhoe east,1765000,1990000,6.3,84,-8,15
jacana,512500,510000,4.8,60,-8,8
jackass flat,331500,345000,2.4,27,7,20
jamieson,311500,345000,4.9,61,17,0
jan juc,870000,860000,6.4,86,-4,36
jeeralang north,235000,296000,3.8,46,39,15
jeparit,81000,88000,2,21,5,11
junction village,483500,467500,5.7,75,-5,5
junortoun,530000,589000,2.1,23,5,12
kalimna,292500,325000,0.9,10,-10,20
kalkallo,532500,540000,5.313392857142856,0,-3,47
kallista,700000,564000,5.5,71,-5,7
kalorama,645000,642000,6.3,84,-6,9
kangaroo flat,340000,370000,3.9,46,5,148
kangaroo ground south,815500,1080000,4.7,58,-12,11
kaniva,169500,137500,5.8,77,3,13
kealba,596000,600000,6.6,90,-3,22
keilor,836500,830000,5.1,64,3,27
keilor downs,630000,650000,5.5,70,-5,38
keilor east,835000,858000,6.3,84,1,105
keilor lodge,740000,724976.1290322581,6,78,3,0
keilor park,708000,660000,5.7,74,-8,19
kennington,373500,411000,3.5,41,-3,60
kensington,980000,1150000,5.6,72,-4,55
kerang,170000,160000,1.4,15,-4,46
kew,2255000,2200000,5,62,-4,112
kew east,1837000,1905000,7,97,2,7
kew north,1833000,2307500,6.9,95,-1,30
keysborough,740000,745000,7,97,-4,165
kialla,450000,420000,3.5,41,8,82
kilcunda,533000,662000,6.2,82,8,8
killara (wodonga),453500,413000,7.9,113,8,34
kilmore,435000,467500,4.7,59,-1,93
kilsyth,642500,700000,5.7,74,-6,102
kilsyth south,761500,848000,5.7,74,-8,12
kinglake,555000,630000,7.7,109,16,13
kings park,510000,537500,6,79,-7,45
kingsbury,660000,700500,4.6,57,-10,15
kingsville,1010000,875000,6.3,85,2,21
knoxfield,760000,829000,6.1,81,-7,41
koo wee rup,550000,510000,7,96,8,32
koondrook,212500,215000,4.3,53,-21,14
koroit,345000,341000,5.1,64,-1,25
korumburra,319000,378000,4.1,49,0,58
kurunjang,420500,440000,5.7,74,-3,95
kyabram,263000,270000,3,35,1,79
kyneton,595000,620000,8.2,121,8,74
lake boga,239000,211500,4.8,60,9,11
