Median House  Price - 2019,Column11,Column12,Column15,Column14,Column13
,2019,2020,Growth PA,change,change
locality,Median,Median,,2009-2019,2018-2019
COBBLEBANK,480500,465000,NA,NA,5
COBDEN,237000,267500,2.8,32,5
COBRAM,272500,304000,2,22,7
COBURG,931000,1140000,5.7,74,-4
COBURG EAST,823500,941000,5.8,76,-2
COBURG NORTH,812500,915000,6,79,0
COCKATOO,580000,596000,7.2,100,-2
COHUNA,205000,220500,2.4,27,15
COLAC,315000,339000,4.4,54,-2
COLDSTREAM,635000,656000,6.5,88,-4
COLERAINE,136000,110000,1.3,13,19
COLLINGWOOD,1050000,1215000,5.6,72,-5
CONNEWARRE,1345000,1085000,6.9,95,12
COOLAROO,441000,480000,5.2,66,-8
COONANS HILL,902500,1047500,4.8,59,-3
COONGULLA,335000,310000,9.1,139,38
CORINELLA,357500,660000,2.6,29,-21
CORIO,354000,365000,6.1,80,-4
CORONET BAY,365000,375000,5.9,78,6
CORRYONG,236000,200000,5.2,66,45
COWES,560000,525000,4.7,58,4
COWES WEST,508500,472500,6.2,83,5
CRAIGIEBURN,530000,545000,4.9,62,-3
CRANBOURNE,500000,516500,6,79,-7
CRANBOURNE EAST,565000,560000,5.6,72,-2
CRANBOURNE NORTH,570000,570000,5.9,78,-5
CRANBOURNE WEST,520000,532500,6.3,84,-4
CREMORNE,1267000,1665000,6.4,86,-11
CRESWICK,345000,370000,5.8,76,5
CRIB POINT,527500,597500,6.6,89,-5
CROYDON,732500,762500,6.3,85,-7
CROYDON HILLS,835000,927500,5.8,76,-5
CROYDON NORTH,825000,895000,5.8,75,-2
CROYDON SOUTH,716000,706000,6.3,83,-5
CURLEWIS,560000,546000,NA,NA,13
DALLAS,451500,480000,4.5,56,-8
DALYSTON,373000,350000,6.4,87,22
DANDENONG,602000,630000,5.7,74,-6
DANDENONG NORTH,605000,636000,5.9,78,-5
DARLEY,520000,535000,7.3,103,3
DARTMOOR,157500,NA,0.6,6,26
DAYLESFORD,590000,650000,7.4,103,7
DEANSIDE,NA,NA,NA,NA,NA
DEEPDENE,2758000,NA,4.4,54,2
DEER PARK,550000,585000,6,80,-5
DELACOMBE,390000,368000,4.1,50,8
DELAHEY,530000,602000,5.5,71,-8
DENNINGTON,360000,427500,2.5,29,1
DERRIMUT,649000,637500,5.9,77,6
DERRINALLUM,221500,158500,4.5,55,81
DIAMOND CREEK,751500,749500,5.5,70,-4
DIGGERS REST,515000,500000,7.9,115,3
DIMBOOLA,120000,129000,2.9,33,-8
DINGLEY VILLAGE,810000,940000,5.6,73,-4
DINNER PLAIN,520000,452500,1.3,14,2
DONALD,135500,154500,3.9,46,-7
DONCASTER,1251500,1260000,6.1,82,-4
DONCASTER EAST,1190000,1317500,6.6,89,-3
DONVALE,1121000,1360000,6.4,87,-5
DOREEN,597500,606500,4.8,59,-1
DOVETON,470000,494000,5.8,75,-13
DROMANA,715500,680000,6.4,86,-9
DROUIN,440000,470000,6.1,81,-3
DRYSDALE,572500,615000,6.5,87,12
DUNKELD,225000,305000,0.7,7,-24
DUNOLLY,234500,209000,5.9,77,14
EAGLE POINT,360000,425000,4.3,52,17
EAGLEHAWK,321500,335000,4.1,50,2
EAGLEMONT,1799000,1777500,2.1,24,-8
EAST BAIRNSDALE,235000,335000,1.9,21,4
EAST BENDIGO,390000,387000,5.6,73,23
EAST GEELONG,625000,760000,6.5,87,-2
EAST MELBOURNE,3413500,2350000,7.3,103,28
EAST WARBURTON,446500,544500,6,79,4
EASTWOOD,410000,395000,2.8,32,6
ECHUCA,370000,382000,3.8,45,1
EDENHOPE,173000,NA,7.6,108,18
EDITHVALE,954000,1125000,7,97,-9
EILDON,251500,282500,3.6,43,-3
ELLIMINYT,445000,380000,5.3,68,16
ELMORE,235000,235000,3.8,45,3
ELSTERNWICK,1750000,2001000,5.9,78,-10
ELTHAM,925000,897500,5.9,77,-2
ELTHAM NORTH,930000,1006000,6.5,87,0
ELWOOD,1952500,1750000,5.7,74,-9
EMERALD,660000,737500,5.9,77,-10
ENDEAVOUR HILLS,620000,676000,5.7,74,-5
EPPING,550000,560000,4.8,60,-8
EPSOM,371500,410000,3.6,43,4
ESSENDON,1447000,1175000,6.2,83,-13
ESSENDON NORTH,1100000,1327500,5.4,69,1
ESSENDON WEST,1160000,995000,5.5,71,-5
EUMEMMERRING,540000,556500,5.4,69,-13
EUREKA,360000,315000,4.1,49,14
EUROA,309000,327500,5.9,77,14
EYNESBURY,558500,540000,0.6,6,2
FAIRFIELD,1290000,1390000,6.7,90,-2
FAIRHAVEN,1395000,1400000,6.8,92,37
FAWKNER,665000,708500,5.6,73,-8
FERNTREE GULLY,692000,742000,6.2,82,-6
FERNY CREEK,733000,925000,4.4,54,-12
FINGAL,1240000,1415000,9.1,138,-8
FITZROY,1392500,1135500,6,79,-4
FITZROY NORTH,1377500,1590000,6.4,86,-7
FIVEWAYS,485000,490000,4.2,52,-11
FLEMINGTON,1000000,1107500,5.6,72,8
FLINDERS,1670000,1300000,9.8,155,-2
FLORA HILL,370000,389000,5.1,64,5
FLOWERDALE,290000,420000,2.1,24,-26
FOOTSCRAY,810000,920000,4.8,60,-10
FOREST HILL,900000,1004000,6,79,-4
FOSTER,325000,362500,3.9,46,-3
FRANKSTON,580500,611500,6.3,84,-4
FRANKSTON NORTH,423000,455000,6,78,-16
FRANKSTON SOUTH,817500,785000,6.1,80,-4
FRASER RISE,598000,635000,NA,NA,-3
FYANSFORD,617500,750000,NA,NA,-5
GARDEN CITY,1375000,NA,4.3,53,-9
GARDENVALE,1740000,NA,7.7,111,-5
GARFIELD,540000,585000,7,96,0
GEELONG,720000,750000,6.3,85,-4
GEELONG WEST,675000,780000,6.9,94,-5
GEMBROOK,650000,630000,8,117,7
GISBORNE,730000,720000,7.6,109,-5
GLADSTONE PARK,636500,660000,6,80,1
GLEN HUNTLY,1380000,NA,5.1,65,13
GLEN IRIS,1929500,1860000,6.5,88,-1
GLEN WAVERLEY,1270000,1235000,6.8,92,-2
GLENGARRY,324000,342500,3.7,44,8
GLENROWAN,372500,NA,4.7,58,41
GLENROY,700000,740000,5.2,67,-3
GOLDEN BEACH,220000,310000,3.7,44,-2
GOLDEN POINT (BALLARAT),370000,385000,5.8,76,6
GOLDEN SQUARE,340000,352000,4.3,52,2
GORDON,495000,649500,6.5,89,23
GOUGHS BAY,299500,500000,5,64,-13
GOWANBRAE,700500,820000,4.5,56,-4
GRANTVILLE,397500,421000,6.2,82,-1
GREEN LAKE,290000,361000,2.3,26,7
GREENSBOROUGH,797500,832500,6.1,81,-2
GREENVALE,715000,728000,4.2,50,-1
GROVEDALE,505000,551500,5.6,73,2
HADFIELD,727500,712500,5.7,74,-2
HALLAM,560000,590000,5.5,70,-11
HALLS GAP,310000,400500,3,35,-13
HAMILTON,208500,250000,1.2,13,-7
HAMLYN HEIGHTS,540000,560000,6.2,83,-1
HAMPTON,1896000,1650000,5.6,72,0
HAMPTON EAST,1195000,1252500,6.2,83,-3
HAMPTON PARK,502000,532000,5.5,70,-9
HARKNESS,475000,470000,5.3,68,-2
HASTINGS,506000,555000,5.4,69,-3
HASTINGS WEST,430000,561000,6.5,87,-10
HAWTHORN,2195500,2578000,5.9,77,-12
HAWTHORN EAST,2050000,1857500,6,79,-7
HEALESVILLE,579500,574000,6.4,85,-4
HEATHCOTE,332500,357500,5.8,75,7
HEATHERTON,965000,890000,5.4,70,3
HEATHMONT,871000,910000,7.2,100,-7
HEIDELBERG,1122500,1302000,4.4,54,1
HEIDELBERG HEIGHTS,777500,752500,5.6,72,-5
HEIDELBERG WEST,665000,790000,5.9,78,-5
HEPBURN,452500,485000,3.7,44,6
HEPBURN SPRINGS,595000,559000,5.6,73,21
HERNE HILL,534000,560000,6.7,91,-3
HEYFIELD,195000,227500,2.3,26,-6
HEYWOOD,178000,176500,1.8,19,7
HIGHETT,1229500,1350000,6.6,89,-4
HIGHTON,690000,697000,6,79,1
HILLSIDE (MELTON),642000,652500,6.1,81,0
HOPETOUN,66000,142500,-1.1,-10,-23
