Median House Prices 3rd Quarter 2020,Column7
SUBURB,No of Sales 
,YTD
LILYDALE,114
LINTON,8
LISMORE,7
LOCH SPORT,64
LONG GULLY,42
LONGWARRY,29
LORNE,32
LOVELY BANKS,15
LOWER PLENTY,14
LUCAS,64
LUCKNOW,14
LYNBROOK,46
LYNDHURST,62
LYSTERFIELD,32
MACEDON,14
MACLEOD,51
MADDINGLEY,54
MAFFRA,74
MAIDEN GULLY,35
MAIDSTONE,53
MALDON,32
MALLACOOTA,17
MALVERN,44
MALVERN EAST,117
MANIFOLD HEIGHTS,22
MANOR LAKES,103
MANSFIELD,58
MARIBYRNONG,42
MARONG,20
MARSHALL,34
MARYBOROUGH,119
MCCRAE,50
MCKENZIE HILL,15
MCKINNON,22
MEADOW HEIGHTS,79
MELTON,76
MELTON SOUTH,100
MELTON WEST,84
MENTONE,48
MERBEIN,36
MERINDA PARK,23
MERNDA,190
METUNG,43
MICKLEHAM,168
MIDDLE PARK,26
MILDURA,439
MILL PARK,131
MILLGROVE,29
MINERS REST,55
MINYIP,14
MIRBOO NORTH,24
MITCHAM,90
MITCHELL PARK,7
MOE,137
MOGGS CREEK,7
MONBULK,41
MONT ALBERT,16
MONT ALBERT NORTH,23
MONTMORENCY,50
MONTROSE,35
MOONEE PONDS,71
MOORABBIN,47
MOOROOLBARK,175
MOOROOPNA,96
MORDIALLOC,37
MORNINGTON,245
MORTLAKE,25
MORWELL,251
MOUNT BEAUTY,15
MOUNT CLEAR,51
MOUNT DANDENONG,13
MOUNT DUNEED,55
MOUNT ELIZA,172
MOUNT EVELYN,76
MOUNT HELEN,44
MOUNT MACEDON,12
MOUNT MARTHA,77
MOUNT PLEASANT,20
MOUNT WAVERLEY,171
MULGRAVE,116
MURCHISON,10
MURRUMBEENA,27
MURTOA,19
MYRTLEFORD,46
NAGAMBIE,23
NARRE WARREN,182
NARRE WARREN NORTH,18
NARRE WARREN SOUTH,194
NATHALIA,21
NEERIM SOUTH,11
NELSON,6
NERRINA,23
NEW GISBORNE,17
NEWBOROUGH,95
NEWCOMB,52
NEWINGTON,15
NEWLANDS ARM,14
NEWPORT,87
NEWSTEAD,8
NEWTOWN (GREATER GEELONG),115
NHILL,38
NICHOLS POINT,4
NIDDRIE,42
NOBLE PARK,99
NOBLE PARK NORTH,22
NORLANE,75
NORTH BENDIGO,52
NORTH GEELONG,42
NORTH MELBOURNE,24
