lga_code,lga_name,dentists_2018_population_erp,dentists_2018_rate_per_100000_people,total_registered_nurses_2018_population_erp,total_registered_nurses_2018_rate_per_100000_people,total_medical_practitioners_2018_population_erp,total_medical_practitioners_2018_rate_per_100000_people
25710,Nillumbik (S),64941.0,49.2754962196455,64941.0,249.457199611955,64941.0,167.844658998168
25810,Northern Grampians (S),null,null,11431.0,1285.97672994489,11431.0,192.459102440731
25900,Port Phillip (C),113200.0,52.1201413427562,113200.0,273.851590106007,113200.0,188.162544169611
25990,Pyrenees (S),null,null,7353.0,883.992928056576,7353.0,108.799129606963
26080,Queenscliffe (B),null,null,2982.0,1106.63983903421,2982.0,402.414486921529
26170,South Gippsland (S),29576.0,37.1923180957533,29576.0,831.755477414119,29576.0,175.818230998107
26260,Southern Grampians (S),16135.0,43.3839479392625,16135.0,1617.60148744964,16135.0,285.094515029439
26350,Stonnington (C),116207.0,110.148269897683,116207.0,2432.72780469335,116207.0,835.577891176952
26430,Strathbogie (S),null,null,10645.0,432.127759511508,10645.0,150.305307656177
26490,Surf Coast (S),32251.0,37.20814858454,32251.0,455.799820160615,32251.0,145.731915289448
26610,Swan Hill (RC),20759.0,38.5375018064454,20759.0,1054.96411195144,20759.0,211.95625993545
26670,Towong (S),null,null,6054.0,974.562272877436,6054.0,165.180046250413
26700,Wangaratta (RC),29087.0,61.8833155705298,29087.0,2124.66050125486,29087.0,464.124866778973
26730,Warrnambool (C),34862.0,63.1059606448282,34862.0,2136.99730365441,34862.0,542.137570994206
26810,Wellington (S),44019.0,40.8914332447352,44019.0,1035.91630886663,44019.0,252.163838342534
26890,West Wimmera (S),null,null,3862.0,1501.81253236665,null,null
26980,Whitehorse (C),176196.0,79.4569683761266,176196.0,1741.81025675952,176196.0,589.684215305682
27070,Whittlesea (C),223322.0,34.4793616392474,223322.0,851.237226963756,223322.0,298.22408898362
27170,Wodonga (C),41429.0,50.6891308020951,41429.0,1327.57247338821,41429.0,282.410871611673
27260,Wyndham (C),255322.0,39.1662293104394,255322.0,507.20266957019,255322.0,189.564549862527
27350,Yarra (C),98521.0,73.0808660082622,98521.0,4015.38758234285,98521.0,1486.99262086256
27450,Yarra Ranges (S),158173.0,40.4620257566083,158173.0,240.243277929862,158173.0,137.191556081
27630,Yarriambiack (S),null,null,6658.0,1141.48392910784,6658.0,60.0781015319916
29399,Unincorporated Vic,null,null,null,null,null,null
