ranking,School,Location,median VCE Score,VCE 40+ %
305,Melba Secondary College,Croydon,28,3.4
,,,,
306,Trinity College,Colac,28,3.4
,,,,
307,Healesville High School,Healesville,28,3.1
,,,,
308,Alexandra Secondary College,Alexandra,28,3
,,,,
309,Heritage College,Officer,28,3
,,,,
310,Murtoa P-12 College,Murtoa,28,3
,,,,
311,Drouin Secondary College,Drouin,28,2.9
,,,,
312,Catholic College Wodonga,Wodonga,28,2.8
,,,,
313,Gladstone Park Secondary College,Gladstone Park,28,2.8
,,,,
314,Virtual School Victoria,Thornbury,28,2.8
,,,,
315,Bayside College Paisley Campus,Newport,28,2.7
,,,,
316,Bright P-12 College,Bright,28,2.7
,,,,
317,Caroline Chisholm Catholic College,Braybrook,28,2.6
,,,,
318,Penola Catholic College,Broadmeadows,28,2.6
,,,,
319,Geelong Lutheran College,Armstrong Creek,28,2.5
,,,,
320,Point Cook Senior Secondary College,Point Cook,28,2.5
,,,,
321,Donald High School,Donald,28,2.4
,,,,
322,Rosebud Secondary College,Rosebud,28,2.4
,,,,
323,Monivae College,Hamilton,28,2.2
,,,,
324,Surf Coast Secondary College,Torquay,28,2.2
,,,,
325,Cornish College,Bangholme,28,2
,,,,
326,Mount Erin College,Frankston,28,2
,,,,
327,Broadford Secondary College,Broadford,28,1.9
,,,,
328,Maryborough Education Centre,Maryborough,28,1.9
,,,,
329,Haileybury Rendall School,Berrimah NT,28,1.8
,,,,
330,Cobram Secondary College,Cobram,28,1.7
,,,,
331,Copperfield College,Delahey,28,1.7
,,,,
332,Apollo Bay P-12 College,Apollo Bay,28,1.6
,,,,
333,Melton Secondary College,Melton,28,1.5
,,,,
334,Catholic Regional College Melton,Melton West,28,1.2
,,,,
335,Bayview College,Portland,28,0.9
,,,,
336,Manangatang P-12 College,Manangatang,28,0
,,,,
337,Murrayville Community College,Murrayville,27,10.3
,,,,
338,Collingwood College,Collingwood,27,7.5
,,,,
339,Shepparton Christian College,Shepparton,27,7
,,,,
340,Wycheproof P-12 College,Wycheproof,27,5.6
,,,,
341,Gleneagles Secondary College,Endeavour Hills,27,5.3
,,,,
342,Leongatha Secondary College,Leongatha,27,5
,,,,
343,Maffra Secondary College,Maffra,27,5
,,,,
344,St Johns Greek Orthodox College,Preston,27,4.7
,,,,
345,Mortlake College,Mortlake,27,4.1
,,,,
346,Geelong Baptist College,Lovely Banks,27,3.3
,,,,
347,Reservoir High School,Reservoir,27,3.3
,,,,
348,Tallangatta Secondary College,Tallangatta,27,3.3
,,,,
349,Wangaratta High School,Wangaratta,27,3.2
,,,,
350,Wantirna College,Wantirna,27,3.1
,,,,
351,William Ruthven Secondary College,Reservoir,27,3.1
,,,,
352,Pascoe Vale Girls Secondary College,Pascoe Vale,27,3
,,,,
353,Seymour College,Seymour,27,3
,,,,
354,Staughton College,Melton South,27,3
,,,,
355,Swinburne Senior Secondary College,Hawthorn,27,3
,,,,
356,Terang College,Terang,27,3
,,,,
357,Wonthaggi Secondary College,Wonthaggi,27,3
,,,,
358,Al-Taqwa College,Truganina,27,2.9
,,,,
359,Northern College of Arts and Technology,Preston,27,2.9
,,,,
360,Wheelers Hill Secondary College,Wheelers Hill,27,2.9
,,,,
361,Brauer College,Warrnambool,27,2.8
,,,,
362,Mildura Senior College,Mildura,27,2.8
,,,,
363,Elisabeth Murdoch College,Langwarrin,27,2.7
,,,,
364,Monbulk College,Monbulk,27,2.7
,,,,
365,Victoria University Secondary College,St Albans,27,2.7
,,,,
366,Lyndhurst Secondary College,Cranbourne,27,2.4
,,,,
367,Warragul Regional College,Warragul,27,2.4
,,,,
368,Mirboo North Secondary College,Mirboo North,27,2.3
,,,,
369,Wyndham Central Secondary College,Werribee,27,2.3
,,,,
370,Mount Alexander 7-12 College,Flemington,27,2.2
,,,,
371,Rochester Secondary College,Rochester,27,2.2
,,,,
372,Echuca College,Echuca,27,2.1
,,,,
373,Mercy Regional College,Camperdown,27,2.1
,,,,
374,Orbost Secondary College,Orbost,27,2.1
,,,,
375,Warrnambool College,Warrnambool,27,2
,,,,
376,Antonine College,Pascoe Vale South,27,1.9
,,,,
377,Kurnai College,Churchill,27,1.9
,,,,
378,Minaret College Springvale,Springvale,27,1.9
,,,,
379,Nhill College,Nhill,27,1.9
,,,,
380,Cathedral College,Wangaratta,27,1.7
,,,,
381,Kerang Technical High School,Kerang,27,1.7
,,,,
382,Thomas Carr College,Tarneit,27,1.7
,,,,
383,Mountain District Christian School,Monbulk,27,1.6
,,,,
384,Cranbourne Secondary College,Cranbourne,27,1.5
,,,,
385,Keysborough Secondary College,Springvale South,27,1.5
,,,,
386,Kyneton High School,Kyneton,27,1.5
,,,,
387,Wanganui Park Secondary College,Shepparton,27,1.5
,,,,
388,Westall Secondary College,Clayton South,27,1.5
,,,,
389,Al Siraat College,Epping,27,1.3
