School_Name,School_Type,LGA_Name
Wandong Primary School,Primary,Mitchell (S)
Cowes Primary School,Primary,Bass Coast (S)
Bullarto Primary School,Primary,Hepburn (S)
Lismore Primary School,Primary,Corangamite (S)
Lower Plenty Primary School,Primary,Banyule (C)
Specimen Hill Primary School,Primary,Greater Bendigo (C)
Bolwarra Primary School,Primary,Glenelg (S)
Navarre Primary School,Primary,Northern Grampians (S)
Warracknabeal Primary School,Primary,Yarriambiack (S)
Moyhu Primary School,Primary,Wangaratta (RC)
Natte Yallock Primary School,Primary,Pyrenees (S)
Clifton Hill Primary School,Primary,Yarra (C)
Christmas Hills Primary School,Primary,Nillumbik (S)
Tallangatta Primary School,Primary,Towong (S)
Kialla Central Primary School,Primary,Greater Shepparton (C)
Mount Eliza Primary School,Primary,Mornington Peninsula (S)
San Remo Primary School,Primary,Bass Coast (S)
Dimboola Primary School,Primary,Hindmarsh (S)
Whorouly Primary School,Primary,Wangaratta (RC)
Merrijig Primary School,Primary,Mansfield (S)
Lethbridge Primary School,Primary,Golden Plains (S)
Oxley Primary School,Primary,Wangaratta (RC)
Northcote Primary School,Primary,Darebin (C)
North Melbourne Primary School,Primary,Melbourne (C)
Dandenong Primary School,Primary,Greater Dandenong (C)
Malmsbury Primary School,Primary,Macedon Ranges (S)
Williamstown North Primary School,Primary,Hobsons Bay (C)
Kerang Primary School,Primary,Gannawarra (S)
Drouin West Primary School,Primary,Baw Baw (S)
Meredith Primary School,Primary,Golden Plains (S)
Edi Upper Primary School,Primary,Wangaratta (RC)
Eaglehawk North Primary School,Primary,Greater Bendigo (C)
Mooroopna Primary School,Primary,Greater Shepparton (C)
Cairnlea Park Primary School,Primary,Brimbank (C)
Ballan Primary School,Primary,Moorabool (S)
Mount Pleasant Primary School,Primary,Ballarat (C)
Tatura Primary School,Primary,Greater Shepparton (C)
Toolamba Primary School,Primary,Greater Shepparton (C)
Harston Primary School,Primary,Greater Shepparton (C)
Osbornes Flat Primary School,Primary,Indigo (S)
Frankston Primary School,Primary,Frankston (C)
Donald Primary School,Primary,Buloke (S)
Beveridge Primary School,Primary,Mitchell (S)
St Kilda Primary School,Primary,Port Phillip (C)
Cape Clear Primary School,Primary,Golden Plains (S)
Warburton Primary School,Primary,Yarra Ranges (S)
Tallarook Primary School,Primary,Mitchell (S)
Barnawartha Primary School,Primary,Indigo (S)
Fitzroy North Primary School,Primary,Yarra (C)
Ashby Primary School,Primary,Greater Geelong (C)
Preston Primary School,Primary,Darebin (C)
Tooradin Primary School,Primary,Casey (C)
Glenferrie Primary School,Primary,Boroondara (C)
