School_Name,School_Type,LGA_Name
Laurimar Primary School,Primary,Whittlesea (C)
Truganina South Primary School,Primary,Wyndham (C)
Kororoit Creek Primary School,Primary,Melton (C)
Harvest Home Primary School,Primary,Whittlesea (C)
Truganina P-9 College,Pri/Sec,Wyndham (C)
Burnside Primary School,Primary,Melton (C)
Berwick Chase Primary School,Primary,Casey (C)
Pakenham Lakeside Primary School,Primary,Cardinia (S)
Davis Creek Primary School,Primary,Wyndham (C)
Pakenham Springs Primary School,Primary,Cardinia (S)
Taylors Hill Primary School,Primary,Melton (C)
Cranbourne Carlisle Primary School,Primary,Casey (C)
Aurora School,Special,Whitehorse (C)
Derrimut Primary School,Primary,Brimbank (C)
Epping Views Primary School,Primary,Whittlesea (C)
Echuca Twin Rivers Primary School,Primary,Campaspe (S)
Cranbourne East Primary School,Primary,Casey (C)
Yuille Park P-8 Community College,Pri/Sec,Ballarat (C)
Lyndhurst Primary School,Primary,Casey (C)
Aitken Creek Primary School,Primary,Hume (C)
Reservoir Views Primary School,Primary,Darebin (C)
Meadows Primary School,Primary,Hume (C)
Mernda Park Primary School,Primary,Whittlesea (C)
Sunshine Harvester Primary School,Primary,Brimbank (C)
Pakenham Primary School,Primary,Cardinia (S)
Alamanda K-9 College,Pri/Sec,Wyndham (C)
Whitehorse Primary School,Primary,Whitehorse (C)
Golden Square Primary School,Primary,Greater Bendigo (C)
Lalor Gardens Primary School,Primary,Whittlesea (C)
Chandler Park Primary School,Primary,Greater Dandenong (C)
Keysborough Primary School,Primary,Greater Dandenong (C)
Lyndale Greens Primary School,Primary,Greater Dandenong (C)
Athol Road Primary School,Primary,Greater Dandenong (C)
Springvale Rise Primary School,Primary,Greater Dandenong (C)
Spring Parks Primary School,Primary,Greater Dandenong (C)
Keilor Views Primary School,Primary,Brimbank (C)
Wyndham Park Primary School,Primary,Wyndham (C)
Lightning Reef Primary School,Primary,Greater Bendigo (C)
Glenroy Central Primary School,Primary,Moreland (C)
William Ruthven Primary School,Primary,Darebin (C)
Newbury Primary School,Primary,Hume (C)
Dallas Brooks Community Primary School,Primary,Hume (C)
Horsham Primary School,Primary,Horsham (RC)
Wyndham Vale Primary School,Primary,Wyndham (C)
Officer Specialist School,Special,Cardinia (S)
Epping Primary School,Primary,Whittlesea (C)
Hazel Glen College,Pri/Sec,Whittlesea (C)
Tulliallan Primary School,Primary,Casey (C)
Coolaroo South Primary School,Primary,Hume (C)
Jacana School for Autism,Special,Hume (C)
Torquay Coast Primary School,Primary,Surf Coast (S)
Arnolds Creek Primary School,Primary,Melton (C)
Wilandra Rise Primary School,Primary,Casey (C)
South Melbourne Primary School,Primary,Port Phillip (C)
Barton Primary School,Primary,Casey (C)
John Henry Primary School,Primary,Cardinia (S)
South Melbourne Park Primary School,Primary,Port Phillip (C)
Bridgewood Primary School,Primary,Cardinia (S)
Armstrong Creek School,Primary,Greater Geelong (C)
Hamlyn Views School,Special,Greater Geelong (C)
Aireys Inlet Primary School,Primary,Surf Coast (S)
Aitken Hill Primary School,Primary,Hume (C)
Morwell Central Primary School,Primary,Latrobe (C)
Ashley Park Primary School,Primary,Whittlesea (C)
Casey Fields Primary School,Primary,Casey (C)
Mirripoa Primary School,Primary,Greater Geelong (C)
Keysborough Gardens Primary School,Primary,Greater Dandenong (C)
Alvie Consolidated School,Primary,Colac-Otway (S)
Apollo Bay P-12 College,Pri/Sec,Colac-Otway (S)
Boisdale Consolidated School,Primary,Wellington (S)
Cobram Primary School,Primary,Moira (S)
Cohuna Consolidated School,Primary,Gannawarra (S)
Collingwood College,Pri/Sec,Yarra (C)
Dunkeld Consolidated School,Primary,Southern Grampians (S)
East Loddon P-12 College,Pri/Sec,Loddon (S)
Foster Primary School,Primary,South Gippsland (S)
Goroke P-12 College,Pri/Sec,West Wimmera (S)
Heywood Consolidated School,Primary,Glenelg (S)
Kiewa Valley Primary School,Primary,Indigo (S)
Lavers Hill K-12 College,Pri/Sec,Colac-Otway (S)
Lockington Consolidated School,Primary,Campaspe (S)
Manangatang P-12 College,Pri/Sec,Swan Hill (RC)
Terang College,Pri/Sec,Corangamite (S)
Merino Consolidated School,Primary,Glenelg (S)
Rushworth P-12 College,Pri/Sec,Campaspe (S)
Macleod College,Pri/Sec,Banyule (C)
Pakenham Consolidated School,Primary,Cardinia (S)
Poowong Consolidated School,Primary,South Gippsland (S)
Port Fairy Consolidated School,Primary,Moyne (S)
Red Hill Consolidated School,Primary,Mornington Peninsula (S)
Sherbrooke Community School,Pri/Sec,Yarra Ranges (S)
Tongala Primary School,Primary,Campaspe (S)
Werrimull P-12 School,Pri/Sec,Mildura (RC)
Camperdown College,Pri/Sec,Corangamite (S)
Timboon P-12 School,Pri/Sec,Corangamite (S)
Virtual School Victoria,Pri/Sec,Darebin (C)
Wedderburn College,Pri/Sec,Loddon (S)
Victorian School Of Languages,Pri/Sec,Darebin (C)
Avenues Education,Special,Kingston (C)
Monash Childrens Hospital School,Special,Monash (C)
Mount Erin College,Secondary,Frankston (C)
Box Hill Senior Secondary College,Secondary,Whitehorse (C)
Edgars Creek Secondary College,Secondary,Whittlesea (C)
Elevation Secondary College,Secondary,Hume (C)
Cobden Technical School,Secondary,Corangamite (S)
Lyndhurst Secondary College,Secondary,Casey (C)
Daylesford Secondary College,Secondary,Hepburn (S)
Dromana Secondary College,Secondary,Mornington Peninsula (S)
Grovedale College,Secondary,Greater Geelong (C)
Irymple Secondary College,Secondary,Mildura (RC)
Crusoe 7-10 Secondary College,Secondary,Greater Bendigo (C)
Peter Lalor Secondary College,Secondary,Whittlesea (C)
Lilydale Heights College,Secondary,Yarra Ranges (S)
Staughton College,Secondary,Melton (C)
Chaffey Secondary College,Secondary,Mildura (RC)
Bentleigh Secondary College,Secondary,Glen Eira (C)
Mount Clear College,Secondary,Ballarat (C)
Rosehill Secondary College,Secondary,Moonee Valley (C)
Northern College of Arts and Technology,Secondary,Darebin (C)
Swinburne Senior Secondary College,Secondary,Boroondara (C)
Victorian College Of The Arts Secondary School,Secondary,Melbourne (C)
Brauer College,Secondary,Warrnambool (C)
Wyndham Central Secondary College,Secondary,Wyndham (C)
Weeroona College Bendigo,Secondary,Greater Bendigo (C)
Whittlesea Secondary College,Secondary,Whittlesea (C)
Alexandra Secondary College,Secondary,Murrindindi (S)
Auburn High School,Secondary,Boroondara (C)
Ballarat High School,Secondary,Ballarat (C)
Balwyn High School,Secondary,Boroondara (C)
Bayswater Secondary College,Secondary,Knox (C)
Beaufort Secondary College,Secondary,Pyrenees (S)
Beaumaris Secondary College,Secondary,Bayside (C)
Beechworth Secondary College,Secondary,Indigo (S)
Belmont High School,Secondary,Greater Geelong (C)
Bendigo Senior Secondary College,Secondary,Greater Bendigo (C)
Berwick Secondary College,Secondary,Casey (C)
Blackburn High School,Secondary,Whitehorse (C)
Outdoor School,Pri/Sec,Alpine (S)
Box Hill High School,Secondary,Whitehorse (C)
Braybrook College,Secondary,Maribyrnong (C)
Brentwood Secondary College,Secondary,Monash (C)
Brighton Secondary College,Secondary,Bayside (C)
Broadford Secondary College,Secondary,Mitchell (S)
Buckley Park College,Secondary,Moonee Valley (C)
Camberwell High School,Secondary,Boroondara (C)
Canterbury Girls Secondary College,Secondary,Boroondara (C)
Casterton Secondary College,Secondary,Glenelg (S)
Cheltenham Secondary College,Secondary,Kingston (C)
Cobram Secondary College,Secondary,Moira (S)
Cohuna Secondary College,Secondary,Gannawarra (S)
Cranbourne Secondary College,Secondary,Casey (C)
Croydon Community School,Secondary,Maroondah (C)
Mount Alexander 7-12 College,Secondary,Moonee Valley (C)
Dimboola Memorial Secondary College,Secondary,Hindmarsh (S)
East Doncaster Secondary College,Secondary,Manningham (C)
Donald High School,Secondary,Buloke (S)
Doncaster Secondary College,Secondary,Manningham (C)
Drouin Secondary College,Secondary,Baw Baw (S)
Eaglehawk Secondary College,Secondary,Greater Bendigo (C)
Eltham High School,Secondary,Nillumbik (S)
Elwood College,Secondary,Port Phillip (C)
Epping Secondary College,Secondary,Whittlesea (C)
Euroa Secondary College,Secondary,Strathbogie (S)
Fairhills High School,Secondary,Knox (C)
Bendigo South East 7-10 Secondary College,Secondary,Greater Bendigo (C)
Footscray High School,Secondary,Maribyrnong (C)
Foster Secondary College,Secondary,South Gippsland (S)
Frankston High School,Secondary,Frankston (C)
Geelong High School,Secondary,Greater Geelong (C)
North Geelong Secondary College,Secondary,Greater Geelong (C)
Gisborne Secondary College,Secondary,Macedon Ranges (S)
Gladstone Park Secondary College,Secondary,Hume (C)
Bundoora Secondary College,Secondary,Banyule (C)
Greater Shepparton Secondary College,Secondary,Greater Shepparton (C)
Western Port Secondary College,Secondary,Mornington Peninsula (S)
Healesville High School,Secondary,Yarra Ranges (S)
Heywood District Secondary College,Secondary,Glenelg (S)
Highvale Secondary College,Secondary,Monash (C)
Kerang Technical High School,Secondary,Gannawarra (S)
Kensington Community High School,Secondary,Melbourne (C)
Kew High School,Secondary,Boroondara (C)
Koonung Secondary College,Secondary,Whitehorse (C)
Koo Wee Rup Secondary College,Secondary,Cardinia (S)
Korumburra Secondary College,Secondary,South Gippsland (S)
Kyabram Secondary College,Pri/Sec,Campaspe (S)
Kyneton High School,Secondary,Macedon Ranges (S)
Lalor Secondary College,Secondary,Whittlesea (C)
Lalor North Secondary College,Secondary,Whittlesea (C)
Lilydale High School,Secondary,Yarra Ranges (S)
Lorne P-12 College,Pri/Sec,Surf Coast (S)
Lyndale Secondary College,Secondary,Greater Dandenong (C)
Lynall Hall Community School,Secondary,Yarra (C)
Maffra Secondary College,Secondary,Wellington (S)
Mansfield Secondary College,Secondary,Mansfield (S)
Maribyrnong Secondary College,Secondary,Maribyrnong (C)
Matthew Flinders Girls Secondary College,Secondary,Greater Geelong (C)
Melbourne High School,Secondary,Stonnington (C)
Melton Secondary College,Secondary,Melton (C)
Mentone Girls Secondary College,Secondary,Kingston (C)
Mildura Senior College,Secondary,Mildura (RC)
Mirboo North Secondary College,Secondary,South Gippsland (S)
Monbulk College,Secondary,Yarra Ranges (S)
Montmorency Secondary College,Secondary,Banyule (C)
Mooroolbark College,Secondary,Yarra Ranges (S)
Mordialloc College,Secondary,Kingston (C)
Mount Beauty Secondary College,Secondary,Alpine (S)
Mount Eliza Secondary College,Secondary,Mornington Peninsula (S)
Mount Waverley Secondary College,Secondary,Monash (C)
McKinnon Secondary College,Secondary,Glen Eira (C)
MacRobertson Girls High School,Secondary,Port Phillip (C)
Nathalia Secondary College,Secondary,Moira (S)
Neerim District Secondary College,Secondary,Baw Baw (S)
Newcomb Secondary College,Secondary,Greater Geelong (C)
Northcote High School,Secondary,Darebin (C)
Norwood Secondary College,Secondary,Maroondah (C)
Numurkah Secondary College,Secondary,Moira (S)
Oberon High School,Secondary,Greater Geelong (C)
Orbost Secondary College,Secondary,East Gippsland (S)
Ouyen Secondary College,Pri/Sec,Mildura (RC)
Pakenham Secondary College,Secondary,Cardinia (S)
Parkdale Secondary College,Secondary,Kingston (C)
Pascoe Vale Girls Secondary College,Secondary,Moreland (C)
Prahran High School,Secondary,Stonnington (C)
Preston High School,Secondary,Darebin (C)
Princes Hill Secondary College,Secondary,Yarra (C)
Homestead Senior Secondary College,Secondary,Wyndham (C)
Bellarine Secondary College,Secondary,Greater Geelong (C)
Rainbow P-12 College,Pri/Sec,Hindmarsh (S)
Red Cliffs Secondary College,Secondary,Mildura (RC)
Ringwood Secondary College,Secondary,Maroondah (C)
Richmond High School,Secondary,Yarra (C)
Robinvale P-12 College,Pri/Sec,Swan Hill (RC)
Rochester Secondary College,Secondary,Campaspe (S)
Rosebud Secondary College,Secondary,Mornington Peninsula (S)
Rubicon Outdoor Centre,Secondary,Murrindindi (S)
Rutherglen High School,Secondary,Indigo (S)
Saltwater P-9 College,Pri/Sec,Wyndham (C)
Scoresby Secondary College,Secondary,Knox (C)
St Albans Secondary College,Secondary,Brimbank (C)
St Arnaud Secondary College,Secondary,Northern Grampians (S)
Oakwood School,Secondary,Glen Eira (C)
Strathmore Secondary College,Secondary,Moonee Valley (C)
Sunbury College,Secondary,Hume (C)
Sydney Road Community School,Secondary,Moreland (C)
Tallangatta Secondary College,Secondary,Towong (S)
Thomastown Secondary College,Secondary,Whittlesea (C)
Trafalgar High School,Secondary,Baw Baw (S)
Dohertys Creek P-9 College,Pri/Sec,Wyndham (C)
University High School,Secondary,Melbourne (C)
Roxburgh College,Secondary,Hume (C)
Upper Yarra Secondary College,Secondary,Yarra Ranges (S)
Upwey High School,Secondary,Yarra Ranges (S)
Vermont Secondary College,Secondary,Whitehorse (C)
Kambrya College,Secondary,Casey (C)
Carrum Downs Secondary College,Secondary,Frankston (C)
Wangaratta High School,Secondary,Wangaratta (RC)
Wantirna College,Secondary,Knox (C)
Warracknabeal Secondary College,Secondary,Yarriambiack (S)
Warrandyte High School,Secondary,Manningham (C)
Wellington Secondary College,Secondary,Monash (C)
Werribee Secondary College,Secondary,Wyndham (C)
Bairnsdale Secondary College,Secondary,East Gippsland (S)
Westall Secondary College,Secondary,Kingston (C)
Wheelers Hill Secondary College,Secondary,Monash (C)
Williamstown High School,Secondary,Hobsons Bay (C)
Wodonga Senior Secondary College,Secondary,Wodonga (C)
Yarram Secondary College,Secondary,Wellington (S)
Woodmans Hill Secondary College,Secondary,Ballarat (C)
Yea High School,Secondary,Murrindindi (S)
Glen Eira College,Secondary,Glen Eira (C)
Craigieburn Secondary College,Secondary,Hume (C)
Emerald Secondary College,Secondary,Cardinia (S)
Reservoir High School,Secondary,Darebin (C)
Hampton Park Secondary College,Secondary,Casey (C)
Hoppers Crossing Secondary College,Secondary,Wyndham (C)
Keilor Downs Secondary College,Secondary,Brimbank (C)
Kurnai College,Secondary,Latrobe (C)
Kurunjang Secondary College,Secondary,Melton (C)
Lakes Entrance Secondary College,Secondary,East Gippsland (S)
Elisabeth Murdoch College,Secondary,Frankston (C)
Sunbury Downs Secondary College,Secondary,Hume (C)
Forest Hill College,Secondary,Whitehorse (C)
Patterson River Secondary College,Secondary,Frankston (C)
St Helena Secondary College,Secondary,Banyule (C)
Stawell Secondary College,Secondary,Northern Grampians (S)
Rowville Secondary College,Secondary,Knox (C)
Wonthaggi Secondary College,Secondary,Bass Coast (S)
Sandringham College,Secondary,Bayside (C)
Fitzroy High School,Secondary,Yarra (C)
Ashwood High School,Secondary,Monash (C)
Mullauna College,Secondary,Whitehorse (C)
Leongatha Secondary College,Secondary,South Gippsland (S)
Diamond Valley College,Secondary,Nillumbik (S)
Blackburn English Language School,Language,Whitehorse (C)
Collingwood English Language School,Language,Yarra (C)
Noble Park English Language School,Language,Greater Dandenong (C)
Greensborough Secondary College,Secondary,Banyule (C)
Ararat Secondary College,Secondary,Ararat (RC)
Mill Park Secondary College,Secondary,Whittlesea (C)
Bacchus Marsh College,Secondary,Moorabool (S)
The Grange P-12 College,Pri/Sec,Wyndham (C)
Springside West Secondary College,Secondary,Melton (C)
Taylors Lakes Secondary College,Secondary,Brimbank (C)
Sunshine College,Secondary,Brimbank (C)
Wallan Secondary College,Secondary,Mitchell (S)
Thornbury High School,Secondary,Darebin (C)
Portland Secondary College,Secondary,Glenelg (S)
Copperfield College,Secondary,Brimbank (C)
Bayside P-12 College,Pri/Sec,Hobsons Bay (C)
South Oakleigh Secondary College,Secondary,Monash (C)
Swan Hill College,Secondary,Swan Hill (RC)
Traralgon College,Secondary,Latrobe (C)
Mornington Secondary College,Secondary,Mornington Peninsula (S)
Essendon Keilor College,Secondary,Moonee Valley (C)
Brunswick Secondary College,Secondary,Moreland (C)
Glen Waverley Secondary College,Secondary,Monash (C)
Monterey Secondary College,Secondary,Frankston (C)
Warrnambool College,Secondary,Warrnambool (C)
Viewbank College,Secondary,Banyule (C)
Noble Park Secondary College,Secondary,Greater Dandenong (C)
Baimbridge College,Secondary,Southern Grampians (S)
Yarra Hills Secondary College,Secondary,Yarra Ranges (S)
Heathmont College,Secondary,Maroondah (C)
Horsham College,Secondary,Horsham (RC)
Melbourne Girls College,Secondary,Yarra (C)
Western Heights College,Secondary,Greater Geelong (C)
Lowanna College,Secondary,Latrobe (C)
Templestowe College,Secondary,Manningham (C)
Castlemaine Secondary College,Secondary,Mount Alexander (S)
Warragul Regional College,Secondary,Baw Baw (S)
Mount Rowan Secondary College,Secondary,Ballarat (C)
Charlton College,Pri/Sec,Buloke (S)
Wycheproof P-12 College,Pri/Sec,Buloke (S)
Birchip P-12 School,Pri/Sec,Buloke (S)
Nhill College,Pri/Sec,Hindmarsh (S)
Sale College,Secondary,Wellington (S)
McClelland Secondary College,Secondary,Frankston (C)
The Alpine School,Camp,Alpine (S)
Western English Language School,Language,Maribyrnong (C)
Narre Warren South P-12 College,Pri/Sec,Casey (C)
Lara Secondary College,Secondary,Greater Geelong (C)
Kaniva P-12 College,Pri/Sec,West Wimmera (S)
Corryong College,Pri/Sec,Towong (S)
Maryborough Education Centre,Pri/Sec,Central Goldfields (S)
The Lakes South Morang College,Pri/Sec,Whittlesea (C)
Point Cook Senior Secondary College,Secondary,Wyndham (C)
Manor Lakes P-12 College,Pri/Sec,Wyndham (C)
Coburg High School,Secondary,Moreland (C)
Wodonga Middle Years College,Pri/Sec,Wodonga (C)
Mount Ridley P-12 College,Pri/Sec,Hume (C)
Tarneit Senior College,Secondary,Wyndham (C)
Echuca College,Secondary,Campaspe (S)
John Monash Science School,Secondary,Monash (C)
Altona College,Pri/Sec,Hobsons Bay (C)
Dandenong High School,Secondary,Greater Dandenong (C)
Bass Coast Specialist School,Special,Bass Coast (S)
Laverton P-12 College,Pri/Sec,Hobsons Bay (C)
Hume Central Secondary College,Secondary,Hume (C)
Colac Secondary College,Secondary,Colac-Otway (S)
Nossal High School,Secondary,Casey (C)
Suzanne Cory High School,Secondary,Wyndham (C)
Keysborough Secondary College,Secondary,Greater Dandenong (C)
Hallam Senior Secondary College,Secondary,Casey (C)
Gleneagles Secondary College,Secondary,Casey (C)
Fountain Gate Secondary College,Secondary,Casey (C)
Balmoral Community College,Pri/Sec,Southern Grampians (S)
Myrtleford P-12 College,Pri/Sec,Alpine (S)
Alkira Secondary College,Secondary,Casey (C)
Somerville Secondary College,Secondary,Mornington Peninsula (S)
Tarneit Rise Primary School,Primary,Wyndham (C)
Boort District P-12 School,Pri/Sec,Loddon (S)
Yarrawonga College P-12,Pri/Sec,Moira (S)
Seymour College,Pri/Sec,Mitchell (S)
Merbein P-10 College,Pri/Sec,Mildura (RC)
Albert Park College,Secondary,Port Phillip (C)
Charles La Trobe P-12 College,Pri/Sec,Darebin (C)
Victoria University Secondary College,Secondary,Brimbank (C)
Swifts Creek P-12 School,Pri/Sec,East Gippsland (S)
Glenroy Secondary College,Secondary,Moreland (C)
John Fawkner College,Secondary,Moreland (C)
William Ruthven Secondary College,Secondary,Darebin (C)
Mernda Central P-12 College,Pri/Sec,Whittlesea (C)
Cranbourne East Secondary College,Secondary,Casey (C)
Featherbrook P-9 College,Pri/Sec,Wyndham (C)
Phoenix P-12 Community College,Pri/Sec,Ballarat (C)
Northern Bay P-12 College,Pri/Sec,Greater Geelong (C)
Surf Coast Secondary College,Secondary,Surf Coast (S)
Hopetoun P-12 College,Pri/Sec,Yarriambiack (S)
Doveton College,Pri/Sec,Casey (C)
Officer Secondary College,Secondary,Cardinia (S)
Brookside P-9 College,Pri/Sec,Melton (C)
Creekside K-9 College,Pri/Sec,Melton (C)
Lakeview Senior College,Secondary,Melton (C)
Springside Primary School,Primary,Melton (C)
Melba Secondary College,Secondary,Maroondah (C)
Boronia K-12 College,Pri/Sec,Knox (C)
Tarneit P-9 College,Pri/Sec,Wyndham (C)
Benalla P-12 College,Pri/Sec,Benalla (RC)
Parkville College,Special,Melbourne (C)
Wesley College St Kilda Rd,Pri/Sec,Melbourne (C)
Korowa Anglican Girls School,Pri/Sec,Stonnington (C)
Parade College,Secondary,Banyule (C)
Simonds Catholic College,Secondary,Melbourne (C)
Christian Brothers College,Secondary,Port Phillip (C)
St Patricks College,Secondary,Ballarat (C)
St Patricks School,Primary,Ballarat (C)
St Alipius Parish School,Primary,Ballarat (C)
Emmanuel College Warrnambool,Secondary,Warrnambool (C)
Loreto College,Secondary,Ballarat (C)
St Marys School,Primary,Mansfield (S)
Sacred Heart School,Primary,Hobsons Bay (C)
St Marys School,Primary,Hobsons Bay (C)
Ruyton Girls School,Pri/Sec,Boroondara (C)
Caulfield Grammar School Caulfield,Pri/Sec,Glen Eira (C)
St Michaels School,Primary,Melbourne (C)
St Patricks School,Primary,Wangaratta (RC)
Presentation College,Secondary,Stonnington (C)
St Marys School,Primary,Port Phillip (C)
Assumption College,Secondary,Mitchell (S)
St Brendans School,Primary,Moonee Valley (C)
Catherine McAuley College,Secondary,Greater Bendigo (C)
Highview College,Secondary,Central Goldfields (S)
St Augustines School,Primary,Central Goldfields (S)
St Marys School,Primary,East Gippsland (S)
St Aloysius School,Primary,Ballarat (C)
St Josephs School,Primary,Boroondara (C)
Sacre Coeur,Pri/Sec,Stonnington (C)
St Josephs School,Primary,Darebin (C)
Sacred Heart School,Primary,Darebin (C)
Sacred Heart School,Primary,Latrobe (C)
St Michaels School,Primary,Latrobe (C)
St Brendans School,Primary,Greater Shepparton (C)
St Marys College,Pri/Sec,Mitchell (S)
St Marys School,Primary,Buloke (S)
St Marys Primary School,Primary,Wellington (S)
St Patricks Primary School,Primary,Mitchell (S)
St Brigids School,Primary,Moorabool (S)
St Patricks School,Primary,Moorabool (S)
St Marys School,Primary,Macedon Ranges (S)
St Augustines School,Primary,Hepburn (S)
Tarrington Lutheran School,Primary,Southern Grampians (S)
St Monicas School,Primary,Greater Bendigo (C)
St Josephs School,Primary,Benalla (RC)
St Brendans Primary School,Primary,Moorabool (S)
Sacred Heart College Geelong,Secondary,Greater Geelong (C)
St Patricks School,Primary,Northern Grampians (S)
St Josephs College Mildura,Secondary,Mildura (RC)
Star of the Sea College,Secondary,Bayside (C)
St James School,Primary,Bayside (C)
St Peters School,Primary,Glen Eira (C)
Methodist Ladies College,Pri/Sec,Boroondara (C)
St Liborius School,Primary,Greater Bendigo (C)
Damascus College,Secondary,Ballarat (C)
Ballarat Clarendon College,Pri/Sec,Ballarat (C)
St Marys School,Primary,Mount Alexander (S)
Sacred Heart College Kyneton,Secondary,Macedon Ranges (S)
St Ambroses School,Primary,Macedon Ranges (S)
St Josephs School,Primary,Buloke (S)
Sacred Heart School,Primary,Greater Shepparton (C)
Christ Church Grammar School,Primary,Melbourne (C)
St Pauls School,Primary,Moreland (C)
St Andrews School,Primary,Wyndham (C)
St Brigids School,Primary,Macedon Ranges (S)
Our Lady of Mount Carmel School,Primary,Hume (C)
St Josephs School,Primary,Indigo (S)
St Marys School,Primary,Indigo (S)
St Marys School,Primary,Loddon (S)
F.C.J. College,Secondary,Benalla (RC)
Fintona Girls School,Pri/Sec,Boroondara (C)
St Patricks School,Primary,Cardinia (S)
Lauriston Girls School,Pri/Sec,Stonnington (C)
Sacred Heart Primary School,Primary,Moira (S)
Xavier College,Pri/Sec,Boroondara (C)
St Josephs School,Primary,Southern Grampians (S)
Marian College Ararat,Secondary,Ararat (RC)
Sacred Heart School,Primary,Glenelg (S)
St Bernards School,Primary,Moorabool (S)
St Patricks School,Primary,Moyne (S)
Geelong Grammar School,Pri/Sec,Greater Geelong (C)
Trinity Grammar School,Pri/Sec,Boroondara (C)
Academy of Mary Immaculate,Secondary,Yarra (C)
Sacred Heart School,Primary,Yarra (C)
Mount Lilydale Mercy College,Secondary,Yarra Ranges (S)
St Monicas School,Primary,Maribyrnong (C)
St Augustines School,Primary,Maribyrnong (C)
St Michael & St Johns School,Primary,Horsham (RC)
Trinity College Colac Inc,Secondary,Colac-Otway (S)
St Marys School,Primary,Colac-Otway (S)
Kilbreda College,Secondary,Kingston (C)
Padua College,Secondary,Mornington Peninsula (S)
Melbourne Girls Grammar,Pri/Sec,Melbourne (C)
The Geelong College,Pri/Sec,Greater Geelong (C)
Notre Dame College,Secondary,Greater Shepparton (C)
Sacred Heart College Yarrawonga,Secondary,Moira (S)
St Johns School,Primary,Yarra (C)
St Josephs School,Primary,Moira (S)
St Josephs School,Primary,Warrnambool (C)
Bayview College,Secondary,Glenelg (S)
Saint Ignatius College Geelong,Secondary,Greater Geelong (C)
St Marys School,Primary,Greater Geelong (C)
St Patricks School,Primary,Greater Geelong (C)
Presbyterian Ladies College,Pri/Sec,Whitehorse (C)
St Monicas Primary School,Primary,Moonee Valley (C)
St Patricks School,Primary,Yarra Ranges (S)
Catholic Ladies College,Secondary,Nillumbik (S)
St Josephs School,Primary,Yarra (C)
St Marys School,Primary,Yarriambiack (S)
St Marys School,Primary,Campaspe (S)
Sacred Heart School,Primary,Boroondara (C)
St Marys School,Primary,Ararat (RC)
St Josephs College Echuca,Secondary,Campaspe (S)
St Patricks School,Primary,Moyne (S)
St Josephs School,Primary,Campaspe (S)
St Aloysius College,Secondary,Melbourne (C)
All Saints Parish School,Primary,Glenelg (S)
Catholic College Sale,Secondary,Wellington (S)
St Augustines College,Pri/Sec,Campaspe (S)
Our Holy Redeemer School,Primary,Boroondara (C)
Our Lady of the Sacred Heart Primary,Primary,Greater Bendigo (C)
St Josephs School,Primary,Indigo (S)
St Josephs School,Primary,Southern Grampians (S)
Mercy Regional College,Secondary,Corangamite (S)
St Patricks School,Primary,Corangamite (S)
St Columbas College,Secondary,Moonee Valley (C)
St Michaels School,Primary,Hepburn (S)
St Marys School,Primary,Southern Grampians (S)
St Kilians School,Primary,Greater Bendigo (C)
Genazzano F.C.J. College,Pri/Sec,Boroondara (C)
St Augustines School,Primary,Wodonga (C)
St Patricks School,Primary,Northern Grampians (S)
St Michaels Grammar School,Pri/Sec,Port Phillip (C)
St Patricks School,Primary,Kingston (C)
St Thomas School,Primary,Corangamite (S)
St Josephs School,Primary,Baw Baw (S)
St Josephs School,Primary,Greater Bendigo (C)
Firbank Grammar School,Pri/Sec,Bayside (C)
St Johns School,Primary,Banyule (C)
Our Lady of Mercy College,Secondary,Banyule (C)
St Josephs School,Primary,Moreland (C)
St Brigids School,Primary,Kingston (C)
St Columbas School,Primary,Ballarat (C)
Ballarat Grammar School,Pri/Sec,Ballarat (C)
Our Lady Help of Christians School,Primary,Moreland (C)
St Anthonys School,Primary,Glen Eira (C)
St Marys School,Primary,Greater Dandenong (C)
Sacred Heart School,Primary,Bayside (C)
St Josephs School,Primary,Bass Coast (S)
St Marys School,Primary,Moonee Valley (C)
St Josephs School,Primary,Gannawarra (S)
De La Salle College,Pri/Sec,Stonnington (C)
St Margaret Marys School,Primary,Moreland (C)
The Hamilton and Alexandra College,Pri/Sec,Southern Grampians (S)
St Francis Xavier School,Primary,Ballarat (C)
St Laurence OToole School,Primary,South Gippsland (S)
St Josephs School,Primary,South Gippsland (S)
Westbourne Grammar School,Primary,Hobsons Bay (C)
Ivanhoe Grammar School,Pri/Sec,Banyule (C)
St Brigids School,Primary,Yarra Ranges (S)
St James School,Primary,Cardinia (S)
Scotch College,Pri/Sec,Boroondara (C)
St Marys School,Primary,Stonnington (C)
St Leonards College,Pri/Sec,Bayside (C)
Holy Rosary School,Primary,Melbourne (C)
St Aloysius School,Primary,Queenscliffe (B)
St Anthonys School,Primary,Darebin (C)
St Josephs School,Primary,Stonnington (C)
St Marys School,Primary,Wellington (S)
Holy Rosary School,Primary,Greater Bendigo (C)
St Columbas School,Primary,Port Phillip (C)
Our Lady of the Rosary,Primary,Macedon Ranges (S)
Tintern Grammar,Pri/Sec,Maroondah (C)
St Marys School,Primary,Swan Hill (RC)
Toorak College,Pri/Sec,Mornington Peninsula (S)
St Marys School,Primary,Mornington Peninsula (S)
St Brendans School,Primary,Colac-Otway (S)
Our Lady of the Immaculate Conception School,Primary,Brimbank (C)
St Marys School,Primary,Darebin (C)
