School_Name,LGA_Name,weighted_score
st catherines school,Kingston (C),0.5
st vincent de pauls school,Latrobe (C),0.5
st peters lutheran school,Hindmarsh (S),0.5
st marys school,Buloke (S),0.5
st josephs school,Yarra Ranges (S),0.5
st stephens school,Darebin (C),0.5
st brendans school,East Gippsland (S),0.5
st martin of tours school,Banyule (C),0.5
st michaels school,Towong (S),0.5
christ our holy redeemer school,Monash (C),0.5
our lady of the nativity school,Moonee Valley (C),0.5
our ladys school,Wangaratta (RC),0.5
st dominics school,Hume (C),0.5
st patricks school,Campaspe (S),0.5
st bridgets school,Boroondara (C),0.5
st leonards school,Monash (C),0.5
st scholasticas school,Whitehorse (C),0.5
st christophers school,Monash (C),0.5
st john vianneys school,Kingston (C),0.5
ss peter & pauls school,Manningham (C),0.5
holy family school,Casey (C),0.5
st matthews school,Moreland (C),0.5
st john vianneys school,Monash (C),0.5
st lukes school,Whittlesea (C),0.5
st francis de sales school,Moreland (C),0.5
st johns lutheran school geelong,Greater Geelong (C),0.5
st thomas mores school,Yarra Ranges (S),0.5
st pius x school,Warrnambool (C),0.5
st christophers school,Moonee Valley (C),0.5
sacred heart school,Colac-Otway (S),0.5
sacred heart school,Nillumbik (S),0.5
st michaels school,Casey (C),0.5
our lady of the way school,Darebin (C),0.5
st luke the evangelist school,Whitehorse (C),0.5
st bernards school,Wangaratta (RC),0.5
our lady help of christians school,Yarriambiack (S),0.5
our lady help of christians school,Ballarat (C),0.5
st clement of rome school,Manningham (C),0.5
st josephs primary school,Knox (C),0.5
sacred heart school,Towong (S),0.5
our lady of lourdes school,Knox (C),0.5
annunciation school,Hobsons Bay (C),0.5
st louis de montforts school,Kingston (C),0.5
st thomas mores school,Moreland (C),0.5
st philips school,Whitehorse (C),0.5
holy child school,Hume (C),0.5
st peter julian eymard,Yarra Ranges (S),0.5
st damians school,Whittlesea (C),0.5
christ the king school,Greater Geelong (C),0.5
st timothys school,Whitehorse (C),0.5
st marys school,Wellington (S),0.5
st macartans school,Mornington Peninsula (S),0.5
st johns school,Frankston (C),0.5
st annes school,Frankston (C),0.5
st martin de porres school,Moonee Valley (C),0.5
st gregory the great school,Manningham (C),0.5
st kevins school,Manningham (C),0.5
st james school,Whitehorse (C),0.5
good shepherd school,Monash (C),0.5
st thomas school,Wellington (S),0.5
st leo the great primary school,Hobsons Bay (C),0.5
st peters school,Moonee Valley (C),0.5
our lady help of christians school,Warrnambool (C),0.5
st martin de porres school,Hobsons Bay (C),0.5
st jude the apostle school,Knox (C),0.5
st monicas school,Wodonga (C),0.5
st peters school,Greater Bendigo (C),0.5
st marks school,Kingston (C),0.5
holy eucharist school,Brimbank (C),0.5
st pauls primary school,Mildura (RC),0.5
learning co-operative school,Nillumbik (S),0.5
st peter apostle school,Wyndham (C),0.5
sholem aleichem college,Glen Eira (C),0.5
st john xxiii primary school,Whittlesea (C),0.5
school of the good shepherd,Hume (C),0.5
st agathas school,Casey (C),0.5
resurrection school,Greater Dandenong (C),0.5
st dominics school,Melton (C),0.5
st francis xavier school,Greater Geelong (C),0.5
holy spirit school,Maroondah (C),0.5
lumen christi school,Latrobe (C),0.5
holy saviour parish school,Whitehorse (C),0.5
st clares school,Whittlesea (C),0.5
nhill lutheran school,Hindmarsh (S),0.5
st annes school,Hume (C),0.5
our lady of the pines school,Manningham (C),0.5
st judes school,Frankston (C),0.5
st pauls kealba catholic school,Brimbank (C),0.5
st elizabeths school,Greater Dandenong (C),0.5
st joseph the worker school,Darebin (C),0.5
resurrection school,Brimbank (C),0.5
plenty valley international montessori school,Banyule (C),0.5
nazareth school,Greater Geelong (C),0.5
st augustines primary school,Brimbank (C),0.5
st anthonys school,Melton (C),0.5
st thomas the apostle school,Nillumbik (S),0.5
st lukes school,Knox (C),0.5
st peters school,Brimbank (C),0.5
good shepherd lutheran primary school,Maroondah (C),0.5
st thomas more school,Ballarat (C),0.5
st marys school,Yarra Ranges (S),0.5
st annes school,Manningham (C),0.5
st gabriels school,Latrobe (C),0.5
our ladys school,Hume (C),0.5
st augustines school,Frankston (C),0.5
st francis of assisi school,Whittlesea (C),0.5
st johns lutheran school,Glenelg (S),0.5
fitzroy community school,Yarra (C),0.5
st paul apostle south school,Casey (C),0.5
st andrews school,Kingston (C),0.5
st thomas mores school,Mornington Peninsula (S),0.5
st francis school,Moira (S),0.5
st james the apostle school,Wyndham (C),0.5
st simons school,Knox (C),0.5
queen of peace primary school,Hobsons Bay (C),0.5
don bosco school,Casey (C),0.5
our lady star of the sea school,Greater Geelong (C),0.5
village school,Maroondah (C),0.5
sunshine christian school,Brimbank (C),0.5
ghilgai school,Yarra Ranges (S),0.5
st bernadettes catholic primary school,Knox (C),0.5
st catherines school,Whittlesea (C),0.5
st anthonys school,Greater Geelong (C),0.5
st marys school,Whittlesea (C),0.5
st charles borromeo school,Manningham (C),0.5
st mary mackillop primary school,Brimbank (C),0.5
st catherine of siena school,Melton (C),0.5
st pauls school,Yarra Ranges (S),0.5
our lady of fatima school,Mornington Peninsula (S),0.5
st justins school,Monash (C),0.5
st richards primary school,Yarra Ranges (S),0.5
holy trinity school,Knox (C),0.5
st paul apostle north school,Casey (C),0.5
corpus christi school,Wyndham (C),0.5
st therese school,Surf Coast (S),0.5
st joachims school,Frankston (C),0.5
holy trinity primary school,Banyule (C),0.5
st carlo borromeo school,Hume (C),0.5
st kevins school,Casey (C),0.5
st thereses school,Casey (C),0.5
st itas school,Baw Baw (S),0.5
yarralinda school,Yarra Ranges (S),0.5
lumen christi school,Ballarat (C),0.5
son centre christian college,Swan Hill (RC),0.5
st francis of the fields school,Greater Bendigo (C),0.5
galilee regional catholic primary school,Port Phillip (C),0.5
st brendans school,Mornington Peninsula (S),0.5
mary mackillop school,Casey (C),0.5
bethany catholic primary school,Wyndham (C),0.5
good samaritan catholic primary school,Hume (C),0.5
erasmus primary school,Boroondara (C),0.5
holy cross primary school,Macedon Ranges (S),0.5
st catherines primary school,Casey (C),0.5
emmaus catholic primary school,Brimbank (C),0.5
maharishi school of the age of enlightenment,Darebin (C),0.5
st thomas primary school,Greater Geelong (C),0.5
bairnsdale christian community school,East Gippsland (S),0.5
clairvaux catholic school,Greater Geelong (C),0.5
dandenong ranges steiner school,Cardinia (S),0.5
ballarat steiner school,Ballarat (C),0.5
christ the priest catholic primary school,Melton (C),0.5
freshwater creek steiner school,Surf Coast (S),0.5
gisborne montessori school,Macedon Ranges (S),0.5
lumen christi school,Wyndham (C),0.5
trinity catholic primary school,Casey (C),0.5
columba catholic school,Cardinia (S),0.5
cana catholic primary school,Melton (C),0.5
st lukes catholic primary school,Greater Shepparton (C),0.5
"st francis of assisi primary school, wodonga",Wodonga (C),0.5
stella maris catholic primary school,Wyndham (C),0.5
trinity catholic school,Yarra (C),0.5
beechworth montessori school,Indigo (S),0.5
deutsche schule melbourne,Yarra (C),0.5
emmaus catholic primary school,Ballarat (C),0.5
mother teresa school,Hume (C),0.5
our lady of the southern cross,Wyndham (C),0.5
daylesford dharma school,Hepburn (S),0.5
st george preca school,Melton (C),0.5
st josephs school,Whittlesea (C),0.5
st brigids school,Cardinia (S),0.5
st francis de sales catholic primary school,Casey (C),0.5
st lawrence catholic primary school,Brimbank (C),0.5
christadelphian heritage college melbourne,Knox (C),0.5
st francis of assisi catholic primary school,Wyndham (C),0.5
koonwarra village school,South Gippsland (S),0.5
wild cherry school,East Gippsland (S),0.5
australian christian college hume,Benalla (RC),0.5
st mary of the cross mackillop catholic parish primary school,Whittlesea (C),0.5
st mary of the cross catholic primary school,Wyndham (C),0.5
st thomas the apostle catholic primary school,Casey (C),0.5
st john the apostle catholic primary school,Wyndham (C),0.5
st clares catholic primary school,Wyndham (C),0.5
st clares primary school,Cardinia (S),0.5
st paul the apostle catholic primary school,Whittlesea (C),0.5
hoa nghiem primary school,Greater Dandenong (C),0.5
harkaway hills college,Casey (C),0.5
lumineer academy - williamstown,Hobsons Bay (C),0.5
phillip island village school,Bass Coast (S),0.5
siena catholic primary school,Ballarat (C),0.5
oscar romero catholic primary school,Hume (C),0.5
"st mary mackillop catholic primary school, bannockburn",Golden Plains (S),0.5
our lady of the way catholic primary school,Mitchell (S),0.5
lisieux catholic primary school,Surf Coast (S),0.5
our lady star of the sea catholic primary school,Bass Coast (S),0.5
maxwell creative school,Cardinia (S),0.5
holy trinity catholic primary school,Hume (C),0.5
glowrey catholic primary school,Whittlesea (C),0.5
fitra community school,Kingston (C),0.5
clyde grammar,Casey (C),0.5
st catherine of siena catholic primary school,Greater Geelong (C),0.5
