School_Name,LGA_Name,weighted_score
daylesford primary school,Hepburn (S),0.5
mooroopna north primary school,Greater Shepparton (C),0.5
swan reach primary school,East Gippsland (S),0.5
amphitheatre primary school,Pyrenees (S),0.5
deans marsh primary school,Surf Coast (S),0.5
drysdale primary school,Greater Geelong (C),0.5
st arnaud primary school,Northern Grampians (S),0.5
nullawarre and district primary school,Moyne (S),0.5
macedon primary school,Macedon Ranges (S),0.5
arthurs creek primary school,Nillumbik (S),0.5
rye primary school,Mornington Peninsula (S),0.5
buxton primary school,Murrindindi (S),0.5
moonambel primary school,Pyrenees (S),0.5
baringhup primary school,Mount Alexander (S),0.5
longford primary school,Wellington (S),0.5
harkaway primary school,Casey (C),0.5
balnarring primary school,Mornington Peninsula (S),0.5
carraragarmungee primary school,Wangaratta (RC),0.5
euroa primary school,Strathbogie (S),0.5
shepparton east primary school,Greater Shepparton (C),0.5
nicholson primary school,East Gippsland (S),0.5
kialla west primary school,Greater Shepparton (C),0.5
miners rest primary school,Ballarat (C),0.5
glenrowan primary school,Wangaratta (RC),0.5
warrnambool primary school,Warrnambool (C),0.5
devenish primary school,Benalla (RC),0.5
undera primary school,Greater Shepparton (C),0.5
dederang primary school,Alpine (S),0.5
eppalock primary school,Greater Bendigo (C),0.5
silvan primary school,Yarra Ranges (S),0.5
wendouree primary school,Ballarat (C),0.5
lancaster primary school,Campaspe (S),0.5
raywood primary school,Greater Bendigo (C),0.5
drummond primary school,Hepburn (S),0.5
puckapunyal primary school,Mitchell (S),0.5
landsborough primary school,Pyrenees (S),0.5
lysterfield primary school,Knox (C),0.5
winton primary school,Benalla (RC),0.5
merrigum primary school,Greater Shepparton (C),0.5
bethanga primary school,Towong (S),0.5
abbotsford primary school,Yarra (C),0.5
newtown primary school,Greater Geelong (C),0.5
windsor primary school,Stonnington (C),0.5
narre warren north primary school,Casey (C),0.5
buchan primary school,East Gippsland (S),0.5
anakie primary school,Greater Geelong (C),0.5
moolap primary school,Greater Geelong (C),0.5
newham primary school,Macedon Ranges (S),0.5
plenty parklands primary school,Whittlesea (C),0.5
white hills primary school,Greater Bendigo (C),0.5
mount egerton primary school,Moorabool (S),0.5
drouin primary school,Baw Baw (S),0.5
wunghnu primary school,Moira (S),0.5
maroona primary school,Ararat (RC),0.5
jindivick primary school,Baw Baw (S),0.5
talgarno primary school,Towong (S),0.5
bungaree primary school,Moorabool (S),0.5
little river primary school,Wyndham (C),0.5
cowwarr primary school,Wellington (S),0.5
morang south primary school,Whittlesea (C),0.5
camp hill primary school,Greater Bendigo (C),0.5
pyalong primary school,Mitchell (S),0.5
winchelsea primary school,Surf Coast (S),0.5
buln buln primary school,Baw Baw (S),0.5
macarthur street primary school,Ballarat (C),0.5
elliminyt primary school,Colac-Otway (S),0.5
mornington primary school,Mornington Peninsula (S),0.5
hamilton north primary school,Southern Grampians (S),0.5
mount blowhard primary school,Ballarat (C),0.5
creswick north primary school,Hepburn (S),0.5
black hill primary school,Ballarat (C),0.5
castlemaine north primary school,Mount Alexander (S),0.5
yarrambat primary school,Nillumbik (S),0.5
casterton primary school,Glenelg (S),0.5
nathalia primary school,Moira (S),0.5
chilwell primary school,Greater Geelong (C),0.5
greensborough primary school,Banyule (C),0.5
teesdale primary school,Golden Plains (S),0.5
cranbourne primary school,Casey (C),0.5
katamatite primary school,Moira (S),0.5
buangor primary school,Ararat (RC),0.5
leitchville primary school,Gannawarra (S),0.5
whittlesea primary school,Whittlesea (C),0.5
little bendigo primary school,Ballarat (C),0.5
urquhart park primary school,Ballarat (C),0.5
warragul primary school,Baw Baw (S),0.5
traralgon south primary school,Latrobe (C),0.5
coleraine primary school,Southern Grampians (S),0.5
lake charm primary school,Gannawarra (S),0.5
ripplebrook primary school,Baw Baw (S),0.5
numurkah primary school,Moira (S),0.5
moe (albert street) primary school,Latrobe (C),0.5
geelong south primary school,Greater Geelong (C),0.5
bayswater primary school,Knox (C),0.5
minyip primary school,Yarriambiack (S),0.5
yarragon primary school,Baw Baw (S),0.5
tyers primary school,Latrobe (C),0.5
trafalgar primary school,Baw Baw (S),0.5
kinglake primary school,Murrindindi (S),0.5
ellinbank primary school,Baw Baw (S),0.5
tambo upper primary school,East Gippsland (S),0.5
baranduda primary school,Wodonga (C),0.5
tungamah primary school,Moira (S),0.5
bunyip primary school,Cardinia (S),0.5
gunbower primary school,Campaspe (S),0.5
nar nar goon primary school,Cardinia (S),0.5
toora primary school,South Gippsland (S),0.5
montrose primary school,Yarra Ranges (S),0.5
koondrook primary school,Gannawarra (S),0.5
katunga south primary school,Moira (S),0.5
magpie primary school,Ballarat (C),0.5
tawonga primary school,Alpine (S),0.5
narracan primary school,Baw Baw (S),0.5
drouin south primary school,Baw Baw (S),0.5
eskdale primary school,Towong (S),0.5
darnum primary school,Baw Baw (S),0.5
moorooduc primary school,Mornington Peninsula (S),0.5
the basin primary school,Knox (C),0.5
paynesville primary school,East Gippsland (S),0.5
epsom primary school,Greater Bendigo (C),0.5
hazelwood north primary school,Latrobe (C),0.5
mirboo north primary school,South Gippsland (S),0.5
yinnar primary school,Latrobe (C),0.5
neerim south primary school,Baw Baw (S),0.5
portarlington primary school,Greater Geelong (C),0.5
menzies creek primary school,Yarra Ranges (S),0.5
labertouche primary school,Baw Baw (S),0.5
diggers rest primary school,Melton (C),0.5
longwarry primary school,Baw Baw (S),0.5
gembrook primary school,Cardinia (S),0.5
wurruk primary school,Wellington (S),0.5
willow grove primary school,Baw Baw (S),0.5
hoddles creek primary school,Yarra Ranges (S),0.5
beaconsfield upper primary school,Cardinia (S),0.5
congupna primary school,Greater Shepparton (C),0.5
redesdale mia mia primary school,Greater Bendigo (C),0.5
launching place primary school,Yarra Ranges (S),0.5
ascot vale primary school,Moonee Valley (C),0.5
boolarra primary school,Latrobe (C),0.5
rosebud primary school,Mornington Peninsula (S),0.5
koo wee rup primary school,Cardinia (S),0.5
osborne primary school,Mornington Peninsula (S),0.5
somerville primary school,Mornington Peninsula (S),0.5
willaura primary school,Ararat (RC),0.5
echuca east primary school,Campaspe (S),0.5
lakes entrance primary school,East Gippsland (S),0.5
myrrhee primary school,Wangaratta (RC),0.5
longwood primary school,Strathbogie (S),0.5
forrest primary school,Colac-Otway (S),0.5
nilma primary school,Baw Baw (S),0.5
garfield primary school,Cardinia (S),0.5
yinnar south primary school,Latrobe (C),0.5
officer primary school,Cardinia (S),0.5
brunswick south primary school,Moreland (C),0.5
orbost primary school,East Gippsland (S),0.5
inverloch primary school,Bass Coast (S),0.5
strathmerton primary school,Moira (S),0.5
laharum primary school,Horsham (RC),0.5
walwa primary school,Towong (S),0.5
seville primary school,Yarra Ranges (S),0.5
moreland primary school,Moreland (C),0.5
tanjil south primary school,Baw Baw (S),0.5
pomonal primary school,Ararat (RC),0.5
glengarry primary school,Latrobe (C),0.5
lang lang primary school,Cardinia (S),0.5
croydon primary school,Maroondah (C),0.5
moonee ponds west primary school,Moonee Valley (C),0.5
loch primary school,South Gippsland (S),0.5
mildura primary school,Mildura (RC),0.5
newmerella primary school,East Gippsland (S),0.5
princes hill primary school,Yarra (C),0.5
gruyere primary school,Yarra Ranges (S),0.5
pearcedale primary school,Casey (C),0.5
lindenow south primary school,East Gippsland (S),0.5
thorpdale primary school,Baw Baw (S),0.5
st albans primary school,Brimbank (C),0.5
leongatha primary school,South Gippsland (S),0.5
jeparit primary school,Hindmarsh (S),0.5
baxter primary school,Mornington Peninsula (S),0.5
fish creek and district primary school,South Gippsland (S),0.5
beaconsfield primary school,Cardinia (S),0.5
metung primary school,East Gippsland (S),0.5
newhaven primary school,Bass Coast (S),0.5
halls gap primary school,Northern Grampians (S),0.5
tallygaroopna primary school,Greater Shepparton (C),0.5
korumburra primary school,South Gippsland (S),0.5
crib point primary school,Mornington Peninsula (S),0.5
flowerdale primary school,Murrindindi (S),0.5
ocean grove primary school,Greater Geelong (C),0.5
beulah primary school,Yarriambiack (S),0.5
sunshine primary school,Brimbank (C),0.5
tyabb primary school,Mornington Peninsula (S),0.5
upper sandy creek primary school,Indigo (S),0.5
nichols point primary school,Mildura (RC),0.5
irymple primary school,Mildura (RC),0.5
brunswick east primary school,Moreland (C),0.5
eagle point primary school,East Gippsland (S),0.5
yarra junction primary school,Yarra Ranges (S),0.5
ferny creek primary school,Yarra Ranges (S),0.5
toolangi primary school,Murrindindi (S),0.5
kinglake west primary school,Murrindindi (S),0.5
perseverance primary school,Unincorporated Vic,0.5
monbulk primary school,Yarra Ranges (S),0.5
lake boga primary school,Swan Hill (RC),0.5
chum creek primary school,Yarra Ranges (S),0.5
mount dandenong primary school,Yarra Ranges (S),0.5
nullawil primary school,Buloke (S),0.5
badger creek primary school,Yarra Ranges (S),0.5
middle kinglake primary school,Murrindindi (S),0.5
point lonsdale primary school,Queenscliffe (B),0.5
kongwak primary school,South Gippsland (S),0.5
clarinda primary school,Kingston (C),0.5
chelsea heights primary school,Kingston (C),0.5
wallington primary school,Greater Geelong (C),0.5
