LGA,HP,SC,CR,OS,MP
greater geelong,0.23185550469859784,0.9449987044363173,0.35267029908295944,0.0,0.21493162851444872
greater shepparton,0.10263385630392743,0.4151611485949535,0.5970541156433082,0.0,0.20268648737667616
hepburn,0.18396976811577062,0.1329127392117543,0.20668501273448403,0.0,0.08803196992489375
hindmarsh,0.002058039067258842,0.07136300060970444,0.19339068450808622,0.0,0.15129934899536118
hobsons bay,0.3499646433146257,0.3312836609791663,0.24041759645484578,0.20489038785834737,0.04105569181968434
horsham,0.05197140035365153,0.06545848520842379,0.38064673831620943,0.0,0.2222565057875072
hume,0.21790080015139596,0.6597049116471603,0.36613810015691406,0.6821247892074199,0.02030667156505967
indigo,0.12226802211800608,0.16676307578160313,0.04731866173583238,0.0,0.05789949295800466
kingston,0.3911986444382677,0.6509307452268414,0.27241545169963965,0.4881956155143338,0.06164237743089904
knox,0.3235182217123122,0.5915339510098034,0.2703574329172613,0.17875210792580098,0.11872159294663595
latrobe,0.07724348929878824,0.3642733713356849,0.893085529998975,0.0,0.18768578232615118
loddon,0.027546971193366958,0.0837088338622534,0.23269805473856853,0.0,0.06230105221143775
macedon ranges,0.2579581005009078,0.29548164326073423,0.11321468841911042,0.0,0.05007113643994503
manningham,0.5092477053455791,0.4912464827214759,0.07537395226342639,0.29005059021922425,0.03811068035515082
mansfield,0.12743283281980922,0.023883460028697068,0.12699789467044098,0.0,0.10352377483574468
maribyrnong,0.36333851785703725,0.231917715038922,0.4532056993715552,0.14671163575042157,0.21688301973589688
maroondah,0.3344732834120868,0.4138404845715773,0.23753163908185548,0.30607082630691396,0.14178941427026273
melbourne,0.6870328427551703,0.26003073370354074,0.9999999999999999,0.20573355817875208,1.0
melton,0.20465329573666563,0.3666762186053637,0.27267566097097484,0.33642495784148396,0.014201249869131766
mildura,0.08064539296126982,0.2478255977459093,0.6284448159216534,0.0,0.1531377482712935
mitchell,0.1653212531802026,0.1696241529387809,0.36318117661901417,0.0,0.05634867669502738
moira,0.09821814031331871,0.22486253468347261,0.32853391788426206,0.0,0.07900641719312793
monash,0.470699555865707,0.8734882863875622,0.2151142160998573,0.4080944350758853,0.2943583300692387
moonee valley,0.44468428616205286,0.49516209565585273,0.24869698236096544,0.09780775716694773,0.03462359926448841
moorabool,0.17379785088679012,0.20020554848568392,0.20581764849670003,0.0,0.052837654469294004
moreland,0.3586496357389129,0.48780073905948323,0.31027984324362684,0.32040472175379425,0.05040080533658452
mornington peninsula,0.37864702903136144,0.5847783976239498,0.2490360429266446,0.9999999999999999,0.07548636008528159
mount alexander,0.1851919752089087,0.1373995941314295,0.19896547101820677,0.0,0.13140843411237085
moyne,0.137486471941476,0.11962350248392922,0.08084623209089978,0.0,0.026772762616101828
murrindindi,0.13614598674102418,0.13562058974181476,0.16813461492970405,0.0,0.04541410600426794
nillumbik,0.3566084935508862,0.36791025077258604,0.050961591534525036,0.28161888701517707,0.021344592567115413
northern grampians,0.05950177320172923,0.10136091177186937,0.3547677435125097,0.0,0.1522947346984641
port phillip,0.7890937072498565,0.24392601556180615,0.5224055952878467,0.08853288364249579,0.027182881007480356
pyrenees,0.06249815190457322,0.07198248351564773,0.2118103468668438,0.0,0.09267505390286274
queenscliffe,0.37368785224698836,0.0,0.11127494657824805,0.0,0.1560535902075301
south gippsland,0.11558530905478051,0.2295519725889149,0.20104714518888822,0.0,0.09232547577970593
southern grampians,0.040084450568622,0.16566495244924734,0.2800167164744009,0.0,0.20297457940692992
stonnington,0.9999999999999999,0.37400295170579434,0.475654662871291,0.11214165261382797,0.37881886283017285
strathbogie,0.11649210789328948,0.059796432376426414,0.18725605380812327,0.0,0.04229765120836049
surf coast,0.40604536301325306,0.12121536400452387,0.08303829807366286,0.0,0.042479991730560676
swan hill,0.04130271507395338,0.1259000986547848,0.5262062276752272,0.0,0.12432910787435342
towong,0.08820392721165277,0.09081612145553675,0.04681401345203079,0.0,0.1107152886680875
wangaratta,0.1167878031615738,0.23607597101799938,0.31885886406825364,0.0,0.2894728680203419
warrnambool,0.11564444810843738,0.1445872242623853,0.3941933906845081,0.0,0.3007146520057056
wellington,0.07971606493468092,0.37044854697556145,0.44270270696493474,0.0,0.12721574972627792
west wimmera,0.03422968425659253,0.03467195876743724,0.140394729579486,0.0,0.19183464847805307
whitehorse,0.5226295588817987,0.8131791897887328,0.1674012978923049,0.3887015177065767,0.2600441667701687
whittlesea,0.23915833298835554,0.5500938134982298,0.25474487663714995,0.657672849915683,0.1094111437005173
wodonga,0.137486471941476,0.11102114359155102,0.36921330063632984,0.0,0.16793675256243076
wyndham,0.22665784154281965,0.5229948305135699,0.23268228447969969,0.40219224283305227,0.05441188420215805
yarra,0.6015022393594057,0.3677452660197013,0.7207008303041293,0.10202360876897132,0.6485327332211377
yarra ranges,0.2511714461036234,0.9585727665416988,0.1516546944118088,0.372681281618887,0.015368369412866456
yarriambiack,0.0,0.10344203520291001,0.22832180790247675,0.0,0.1183045374681907
